番号,表示・通知義務対象物質,CAS番号,表示裾切,通知裾切,Substances,"Content (Weight Percent)
for GHS Label","Content (Weight Percent)
for SDS",特化則※１,有機則※２,鉛則・四アルキル鉛則※３,石綿則※４,表示LEFT,表示value,通知LEFT,通知value
36,アルファ―メチルスチレン,98-83-9,1%未満,0.1%未満,α-Methylstyrene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
37,アルミニウム,7429-90-5,1%未満,1%未満,Aluminum,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
37,アルミニウム水溶性塩,＊,1%未満,0.1%未満,Water-soluble aluminum salts,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
38,アンチモン及びその化合物（三酸化二アンチモンを除く。）,＊,1%未満,0.1%未満,Antimony and its compounds (excluding Antimony trioxide),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
38,三酸化二アンチモン,1309-64-4,0.1%未満,0.1%未満,Antimony trioxide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
39,アンモニア,7664-41-7,0.2%未満,0.1%未満,Ammonia,"0.2%, no less than ","0.1%, no less than ",○第3類,,,,0.2%,0.2%,0.1%,0.1%
39-2,石綿（労働安全衛生法施行令第16条第1項第4号イからハまでに掲げる物で同号の厚生労働省令で定めるものに限る。）,＊,0.1%未満,0.1%未満,Asbestos,"0.1%, no less than ","0.1%, no less than ",,,,製造許可,0.1%,0.1%,0.1%,0.1%
40,３―イソシアナトメチル―３，５，５―トリメチルシクロヘキシル＝イソシアネート,4098-71-9,1%未満,0.1%未満,"3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
41,イソシアン酸メチル,624-83-9,0.3%未満,0.1%未満,Methyl isocyanate,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
42,イソプレン,78-79-5,1%未満,0.1%未満,Isoprene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
43,Ｎ―イソプロピルアニリン,768-52-5,1%未満,0.1%未満,N-Isopropylaniline,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
44,Ｎ―イソプロピルアミノホスホン酸Ｏ―エチル―Ｏ―（３―メチル―４―メチルチオフェニル）（別名フェナミホス）,22224-92-6,1%未満,0.1%未満,O-Ethyl-O-(3-methyl-4-methylthiophenyl) N-isopropylaminophosphonate; Ethyl 3-methyl-4-(methylthio)phenyl (isopropyl)phosphoramidate (alias Fenamiphos),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
45,イソプロピルアミン,75-31-0,1%未満,1%未満,Isopropylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
46,イソプロピルエーテル,108-20-3,1%未満,0.1%未満,Isopropyl ether,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
47,３′―イソプロポキシ―２―トリフルオロメチルベンズアニリド（別名フルトラニル）,66332-96-5,1%未満,1%未満,3'-Isopropoxy-2-trifluoromethylbenzanilide (alias Flutolanil),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
48,イソペンチルアルコール（別名イソアミルアルコール）,123-51-3,1%未満,1%未満,Isopentyl alcohol (alias Isoamylalcohol),"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
49,イソホロン,78-59-1,1%未満,0.1%未満,Isophorone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
50,一塩化硫黄,10025-67-9,1%未満,1%未満,Sulfur monochloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
51,一酸化炭素,630-08-0,0.3%未満,0.1%未満,Carbon monoxide,"0.3%, no less than ","0.1%, no less than ",○第3類,,,,0.3%,0.3%,0.1%,0.1%
52,一酸化窒素,10102-43-9,1%未満,1%未満,Nitrogen monoxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
53,一酸化二窒素,10024-97-2,0.3%未満,0.1%未満,Dinitrogen oxide,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
54,イットリウム及びその化合物,＊,1%未満,1%未満,Yttrium and its compounds,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
55,イプシロン―カプロラクタム,105-60-2,1%未満,1%未満,ε-Caprolactam,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
56,２―イミダゾリジンチオン,96-45-7,0.3%未満,0.1%未満,2-Imidazolidinethione,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
57,４，４′―（４―イミノシクロヘキサ―２，５―ジエニリデンメチル）ジアニリン塩酸塩（別名ＣＩベイシックレッド９）,569-61-9,1%未満,0.1%未満,"4,4'-(4-Iminocyclohexa-2,5-dienylidenemethylene)dianiline hydrochloride (alias CI basic red 9)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
58,インジウム,7440-74-6,1%未満,1%未満,Indium,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
58,インジウム化合物,＊,0.1%未満,0.1%未満,Indium compounds,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
59,インデン,95-13-6,1%未満,1%未満,Indene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
60,ウレタン,51-79-6,0.1%未満,0.1%未満,Urethane,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
61,エタノール,64-17-5,0.1%未満,0.1%未満,Ethanol,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
62,エタンチオール,75-08-1,1%未満,1%未満,Ethanethiol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
63,エチリデンノルボルネン,16219-75-3,1%未満,0.1%未満,Ethylidenenorbornene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
64,エチルアミン,75-04-7,1%未満,1%未満,Ethylamine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
65,エチルエーテル,60-29-7,1%未満,0.1%未満,Ethyl ether,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
66,エチル―セカンダリ―ペンチルケトン,541-85-5,1%未満,1%未満,Ethyl sec-pentyl ketone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
67,エチル―パラ―ニトロフェニルチオノベンゼンホスホネイト（別名ＥＰＮ）,2104-64-5,1%未満,0.1%未満,Ethyl p-nitrophenyl thionobenzenephosphonate (alias EPN),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
68,Ｏ―エチル―Ｓ―フェニル＝エチルホスホノチオロチオナート（別名ホノホス）,944-22-9,1%未満,0.1%未満,O-Ethyl S-phenyl ethylphosphonodithioate (alias Fonofos),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
69,２―エチルヘキサン酸,149-57-5,0.3%未満,0.1%未満,2-Ethylhexanoic acid,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
70,エチルベンゼン,100-41-4,0.1%未満,0.1%未満,Ethylbenzene,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
71,エチルメチルケトンペルオキシド,1338-23-4,1%未満,1%未満,Ethyl methyl ketone peroxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
72,Ｎ―エチルモルホリン,100-74-3,1%未満,1%未満,N-Ethylmorpholine,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
72-2,エチレン,74-85-1,1%未満,1%未満,Ethylen,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
73,エチレンイミン,151-56-4,0.1%未満,0.1%未満,Ethyleneimine,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
74,エチレンオキシド,75-21-8,0.1%未満,0.1%未満,Ethylene oxide,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
75,エチレングリコール,107-21-1,1%未満,1%未満,Ethylene glycol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
76,エチレングリコールモノイソプロピルエーテル,109-59-1,1%未満,1%未満,Ethylene glycol monoisopropyl ether,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
77,エチレングリコールモノエチルエーテル（別名セロソルブ）,110-80-5,0.3%未満,0.1%未満,Ethylene glycol monoethyl ether (alias Cellosolve),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
78,エチレングリコールモノエチルエーテルアセテート（別名セロソルブアセテート） ,111-15-9,0.3%未満,0.1%未満,Ethylene glycol monoethyl ether acetate (alias Cellosolve acetate),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
79,エチレングリコールモノ―ノルマル―ブチルエーテル（別名ブチルセロソルブ） ,111-76-2,1%未満,0.1%未満,Ethylene glycol mono-n-butyl ether (alias Butyl cellosolve),"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
79-2,エチレングリコールモノブチルエーテルアセタート,112-07-2,1%未満,0.1%未満,Ethylene glycol monobutyl ether acetate,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
80,エチレングリコールモノメチルエーテル（別名メチルセロソルブ）,109-86-4,0.3%未満,0.1%未満,Ethylene glycol monomethyl ether (alias Methyl cellosolve),"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
81,エチレングリコールモノメチルエーテルアセテート,110-49-6,0.3%未満,0.1%未満,Ethylene glycol monomethyl ether acetate,"0.3%, no less than ","0.1%, no less than ",,,,,0.3%,0.3%,0.1%,0.1%
82,エチレンクロロヒドリン,107-07-3,0.1%未満,0.1%未満,Ethylene chlorohydrin,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
83,エチレンジアミン,107-15-3,1%未満,0.1%未満,Ethylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
84,１，１′―エチレン―２，２′―ビピリジニウム＝ジブロミド（別名ジクアット）,85-00-7,1%未満,0.1%未満,"1,1'-Ethylene-2,2'-bipyridinium dibromide (alias Diquat)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
85,２―エトキシ―２，２―ジメチルエタン,637-92-3,1%未満,1%未満,"2-Ethoxy-2,2-dimethylethane; 2-Ethoxy-2-methylpropane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
86,２―（４―エトキシフェニル）―２―メチルプロピル＝３―フェノキシベンジルエーテル（別名エトフェンプロックス）,80844-07-1,1%未満,1%未満,2-(4-Ethoxyphenyl)-2-methylpropyl 3-phenoxybenzyl ether (alias Etofenprox),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
87,エピクロロヒドリン,106-89-8,0.1%未満,0.1%未満,Epichlorohydrin,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
88,１，２―エポキシ―３―イソプロポキシプロパン,4016-14-2,1%未満,1%未満,"1,2-Epoxy-3-isopropoxypropane","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
89,２，３―エポキシ―１―プロパナール,765-34-4,1%未満,0.1%未満,"2,3-Epoxy-1-propanal","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
90,２，３―エポキシ―１―プロパノール,556-52-5,0.1%未満,0.1%未満,"2,3-Epoxy-1-propanol","0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
91,２，３―エポキシプロピル＝フェニルエーテル,122-60-1,1%未満,0.1%未満,"2,3-Epoxypropyl phenyl ether","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
92,エメリー,1302-74-5,1%未満,1%未満,Emery,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
93,エリオナイト,12510-42-8,0.1%未満,0.1%未満,Erionite,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
94,塩化亜鉛,7646-85-7,1%未満,0.1%未満,Zinc chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
95,塩化アリル,107-05-1,1%未満,0.1%未満,Allyl chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
96,塩化アンモニウム,12125-02-9,1%未満,1%未満,Ammonium chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
97,塩化シアン,506-77-4,1%未満,1%未満,Cyanogen chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
98,塩化水素,7647-01-0,0.2%未満,0.1%未満,Hydrogen chloride,"0.2%, no less than ","0.1%, no less than ",○第3類,,,,0.2%,0.2%,0.1%,0.1%
99,塩化チオニル,7719-09-7,1%未満,1%未満,Thionyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
100,塩化ビニル,75-01-4,0.1%未満,0.1%未満,Vinyl chloride,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
101,塩化ベンジル,100-44-7,1%未満,0.1%未満,Benzyl chloride,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
102,塩化ベンゾイル,98-88-4,1%未満,1%未満,Benzoyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
103,塩化ホスホリル,10025-87-3,1%未満,1%未満,Phosphoryl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
104,塩素,7782-50-5,1%未満,1%未満,Chlorine,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
105,塩素化カンフェン（別名トキサフェン）,8001-35-2,1%未満,0.1%未満,Chlorinated camphene (alias Toxaphene),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
106,塩素化ジフェニルオキシド,31242-93-0,1%未満,1%未満,Chlorinated diphenyloxide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
107,黄りん,12185-10-3,1%未満,0.1%未満,Yellow Phosphorus,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
108,４，４′―オキシビス（２―クロロアニリン）,28434-86-8,1%未満,0.1%未満,"4,4'-Oxybis(2-chloroaniline)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
109,オキシビス（チオホスホン酸）Ｏ，Ｏ，Ｏ′，Ｏ′―テトラエチル（別名スルホテップ）,3689-24-5,1%未満,0.1%未満,"O,O,O',O'-Tetraethyl oxybis(thiophosphonate) (alias Sulfotep)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
110,４，４′―オキシビスベンゼンスルホニルヒドラジド,80-51-3,1%未満,1%未満,"4,4'-Oxybis(benzenesulfonylhydrazide)","1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
111,オキシビスホスホン酸四ナトリウム,7722-88-5,1%未満,1%未満,Tetrasodium oxybisphosphonate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
112,オクタクロロナフタレン,2234-13-1,1%未満,1%未満,Octachloronaphthalene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
113,１，２，４，５，６，７，８，８―オクタクロロ―２，３，３ａ，４，７，７ａ―ヘキサヒドロ―４，７―メタノ―１Ｈ―インデン（別名クロルデン）,57-74-9,1%未満,0.1%未満,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene (alias Chlordane)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
114,２―オクタノール,123-96-6,1%未満,1%未満,2-Octanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
115,オクタン,111-65-9他,1%未満,1%未満,Octane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
116,オゾン,10028-15-6,1%未満,0.1%未満,Ozone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
117,オメガ―クロロアセトフェノン,532-27-4,1%未満,0.1%未満,ω-Chloroacetophenone,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
118,オーラミン,492-80-8,1%未満,0.1%未満,Auramine,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
119,オルト―アニシジン,90-04-0,1%未満,0.1%未満,o-Anisidine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
120,オルト―クロロスチレン,2039-87-4,1%未満,1%未満,o-Chlorostyrene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
121,オルト―クロロトルエン,95-49-8,1%未満,1%未満,o-Chlorotoluene,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
122,オルト―ジクロロベンゼン ,95-50-1,1%未満,1%未満,o-Dichlorobenzene,"1%, no less than ","1%, no less than ",,○第2種,,,1%,1.0%,1%,1.0%
123,オルト―セカンダリ―ブチルフェノール,89-72-5,1%未満,1%未満,o-sec-Butylphenol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
124,オルト―ニトロアニソール,91-23-6,1%未満,0.1%未満,o-Nitroanisole,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
125,オルト―フタロジニトリル,91-15-6,1%未満,1%未満,o-Phthalodinitrile,"1%, no less than ","1%, no less than ",○第2類,,,,1%,1.0%,1%,1.0%
126,過酸化水素,7722-84-1,1%未満,0.1%未満,Hydrogen peroxide,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
127,ガソリン,8006-61-9,1%未満,0.1%未満,Gasoline,"1%, no less than ","0.1%, no less than ",,○第3種,,,1%,1.0%,0.1%,0.1%
128,カテコール,120-80-9,1%未満,0.1%未満,Catechol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
129,カドミウム及びその化合物,＊,0.1%未満,0.1%未満,Cadmium and its compounds,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
130,カーボンブラック,1333-86-4,1%未満,0.1%未満,Carbon black,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
131,カルシウムシアナミド,156-62-7,1%未満,1%未満,Calcium cyanamide,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
132,ぎ酸,64-18-6,1%未満,1%未満,Formic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
133,ぎ酸エチル,109-94-4,1%未満,1%未満,Ethyl formate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
134,ぎ酸メチル,107-31-3,1%未満,1%未満,Methyl formate,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
135,キシリジン,1300-73-8,1%未満,0.1%未満,Xylidine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,２，３－キシリジン,87-59-2,1%未満,0.1%未満,"2,3-Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,２，４－キシリジン,95-68-1,1%未満,0.1%未満,"2,4-Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,２，５－キシリジン,95-78-3,1%未満,0.1%未満,"2,5-Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,２，６－キシリジン,87-62-7,1%未満,0.1%未満,"2,6-Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,３，４－キシリジン,95-64-7,1%未満,0.1%未満,"3,4--Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
135,３，５－キシリジン,108-69-0,1%未満,0.1%未満,"3,5-Xylidine","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
136,キシレン,1330-20-7,0.3%未満,0.1%未満,Xylene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
136,ｏ－キシレン,95-47-6,0.3%未満,0.1%未満,o-Xylene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
136,ｍ－キシレン,108-38-3,0.3%未満,0.1%未満,m-Xylene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
136,ｐ－キシレン,106-42-3,0.3%未満,0.1%未満,p-Xylene,"0.3%, no less than ","0.1%, no less than ",,○第2種,,,0.3%,0.3%,0.1%,0.1%
137,銀及びその水溶性化合物,＊,1%未満,0.1%未満,Silver and its water-soluble compounds,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
138,クメン,98-82-8,1%未満,0.1%未満,Cumene,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
139,グルタルアルデヒド,111-30-8,1%未満,0.1%未満,Glutaraldehyde,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
140,クレオソート油,61789-28-4,0.1%未満,0.1%未満,Creosote oil,"0.1%, no less than ","0.1%, no less than ",,,,,0.1%,0.1%,0.1%,0.1%
141,クレゾール,1319-77-3,1%未満,0.1%未満,Cresol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
141,ｏ－クレゾール,95-48-7,1%未満,0.1%未満,o-Cresol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
141,ｍ－クレゾール,108-39-4,1%未満,0.1%未満,m-Cresol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
141,ｐ－クレゾール,106-44-5,1%未満,0.1%未満,p-Cresol,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
142,クロム及びその化合物（クロム酸及びクロム酸塩並びに重クロム酸及び重クロム酸塩を除く。）,＊,1%未満,0.1%未満,"Chromium and its compounds (excluding Chromic acid, Dichromic acid and its salts)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
142,クロム酸及びクロム酸塩,＊,0.1%未満,0.1%未満,Chromic acid and its salts,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
142,重クロム酸及び重クロム酸塩,＊,0.1%未満,0.1%未満,Dichromic acid and its salts,"0.1%, no less than ","0.1%, no less than ",○第2類,,,,0.1%,0.1%,0.1%,0.1%
143,クロロアセチル＝クロリド,79-04-9,1%未満,1%未満,Chloroacetyl chloride,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
144,クロロアセトアルデヒド,107-20-0,1%未満,0.1%未満,Chloroacetaldehyde,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
145,クロロアセトン,78-95-5,1%未満,1%未満,Chloroacetone,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
146,クロロエタン（別名塩化エチル）,75-00-3,1%未満,0.1%未満,Chloroethane (alias Ethyl chloride),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
147,２―クロロ―４―エチルアミノ―６―イソプロピルアミノ―１，３，５―トリアジン（別名アトラジン）,1912-24-9,1%未満,0.1%未満,"2-Chloro-4-ethylamino-6-isopropylamino-1,3,5-triazine (alias Atrazine)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
148,４―クロロ―オルト―フェニレンジアミン,95-83-0,1%未満,0.1%未満,4-Chloro-o-phenylenediamine,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
148-2,クロロ酢酸,79-11-8,1%未満,1%未満,Chloroacetic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
149,クロロジフルオロメタン（別名ＨＣＦＣ―２２）,75-45-6,1%未満,0.1%未満,Chlorodifluoromethane (alias HCFC-22),"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
150,２―クロロ―６―トリクロロメチルピリジン（別名ニトラピリン）,1929-82-4,1%未満,1%未満,2-Chloro-6-trichloromethylpyridine (alias Nitrapyrin),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
151,２―クロロ―１，１，２―トリフルオロエチルジフルオロメチルエーテル（別名エンフルラン）,13838-16-9,1%未満,0.1%未満,"2-Chloro-1,1,2-trifluoroethyl difluoromethyl ether (alias Enflurane)","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
152,１―クロロ―１―ニトロプロパン,600-25-9,1%未満,1%未満,1-Chloro-1-nitropropane,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
153,クロロピクリン,76-06-2,1%未満,1%未満,Chloropicrin,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
154,クロロフェノール,25167-80-0,1%未満,0.1%未満,Chlorophenol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
154,ｏ－クロロフェノール,95-57-8,1%未満,0.1%未満,o-Chlorophenol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
154,ｍ－クロロフェノール,108-43-0,1%未満,0.1%未満,m-Chlorophenol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
154,ｐ－クロロフェノール,106-48-9,1%未満,0.1%未満,p-Chlorophenol,"1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
155,２―クロロ―１，３―ブタジエン,126-99-8,1%未満,0.1%未満,"2-Chloro-1,3-butadiene","1%, no less than ","0.1%, no less than ",,,,,1%,1.0%,0.1%,0.1%
155-2,１―クロロ―２プロパノール,127-00-4,1%未満,1%未満,1-Chloro-2-propanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
155-3,２―クロロ―１プロパノール,78-89-7,1%未満,1%未満,2-Chloro-1-propanol,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
156,２―クロロプロピオン酸,598-78-7,1%未満,1%未満,2-Chloropropyonic acid,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
157,２―クロロベンジリデンマロノニトリル,2698-41-1,1%未満,1%未満,2-Chlorobenzylidenemalononitrile,"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
158,クロロベンゼン,108-90-7,1%未満,0.1%未満,Chlorobenzene,"1%, no less than ","0.1%, no less than ",,○第2種,,,1%,1.0%,0.1%,0.1%
159,クロロペンタフルオロエタン（別名ＣＦＣ―１１５）,76-15-3,1%未満,1%未満,Chloropentafluoroethane (alias CFC-115),"1%, no less than ","1%, no less than ",,,,,1%,1.0%,1%,1.0%
160,クロロホルム,67-66-3,1%未満,0.1%未満,Chloroform,"1%, no less than ","0.1%, no less than ",○第2類,,,,1%,1.0%,0.1%,0.1%
