物質ID,出典,CAS RN,日本語名,英語名,窒素等価係数,酸素等量係数,pH,最大濃度,最小濃度,酸 (pH≦2),塩基 (pH≧11.5),無機塩類,アルデヒド類,フェノール類,界面活性剤、その他の成分,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：気体）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉じん、ミスト）,皮膚腐食性及び皮膚刺激性,眼に対する重篤な損傷性又は眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,生殖毒性・授乳影響,特定標的臓器毒性（単回ばく露）,特定標的臓器毒性（単回ばく露）区分（1）,特定標的臓器毒性（単回ばく露）臓器種（1）,特定標的臓器毒性（単回ばく露）暴露経路（1）,特定標的臓器毒性（単回ばく露）区分（2）,特定標的臓器毒性（単回ばく露）臓器種（2）,特定標的臓器毒性（単回ばく露）暴露経路（2）,特定標的臓器毒性（単回ばく露）区分（3）,特定標的臓器毒性（単回ばく露）臓器種（3）,特定標的臓器毒性（単回ばく露）暴露経路（3）,特定標的臓器毒性（単回ばく露）区分（4）,特定標的臓器毒性（単回ばく露）臓器種（4）,特定標的臓器毒性（単回ばく露）暴露経路（4）,特定標的臓器毒性（単回ばく露）区分（5）,特定標的臓器毒性（単回ばく露）臓器種（5）,特定標的臓器毒性（単回ばく露）暴露経路（5）,特定標的臓器毒性（単回ばく露）区分（6）,特定標的臓器毒性（単回ばく露）臓器種（6）,特定標的臓器毒性（単回ばく露）暴露経路（6）,特定標的臓器毒性（単回ばく露）区分（7）,特定標的臓器毒性（単回ばく露）臓器種（7）,特定標的臓器毒性（単回ばく露）暴露経路（7）,特定標的臓器毒性（単回ばく露）区分（8）,特定標的臓器毒性（単回ばく露）臓器種（8）,特定標的臓器毒性（単回ばく露）暴露経路（8）,特定標的臓器毒性（単回ばく露）区分（9）,特定標的臓器毒性（単回ばく露）臓器種（9）,特定標的臓器毒性（単回ばく露）暴露経路（9）,特定標的臓器毒性（単回ばく露）区分（10）,特定標的臓器毒性（単回ばく露）臓器種（10）,特定標的臓器毒性（単回ばく露）暴露経路（10）,特定標的臓器毒性（反復ばく露）,特定標的臓器毒性（反復ばく露）区分(1),特定標的臓器毒性（反復ばく露）臓器種(1),特定標的臓器毒性（反復ばく露）暴露経路(1),特定標的臓器毒性（反復ばく露）区分(2),特定標的臓器毒性（反復ばく露）臓器種(2),特定標的臓器毒性（反復ばく露）暴露経路(2),特定標的臓器毒性（反復ばく露）区分(3),特定標的臓器毒性（反復ばく露）臓器種(3),特定標的臓器毒性（反復ばく露）暴露経路(3),特定標的臓器毒性（反復ばく露）区分(4),特定標的臓器毒性（反復ばく露）臓器種(4),特定標的臓器毒性（反復ばく露）暴露経路(4),特定標的臓器毒性（反復ばく露）区分(5),特定標的臓器毒性（反復ばく露）臓器種(5),特定標的臓器毒性（反復ばく露）暴露経路(5),特定標的臓器毒性（反復ばく露）区分(6),特定標的臓器毒性（反復ばく露）臓器種(6),特定標的臓器毒性（反復ばく露）暴露経路(6),特定標的臓器毒性（反復ばく露）区分(7),特定標的臓器毒性（反復ばく露）臓器種(7),特定標的臓器毒性（反復ばく露）暴露経路(7),特定標的臓器毒性（反復ばく露）区分(8),特定標的臓器毒性（反復ばく露）臓器種(8),特定標的臓器毒性（反復ばく露）暴露経路(8),特定標的臓器毒性（反復ばく露）区分(9),特定標的臓器毒性（反復ばく露）臓器種(9),特定標的臓器毒性（反復ばく露）暴露経路(9),特定標的臓器毒性（反復ばく露）区分(10),特定標的臓器毒性（反復ばく露）臓器種(10),特定標的臓器毒性（反復ばく露）暴露経路(10),誤えん有害性,水生環境有害性　短期　（急性）,水生環境有害性　長期　（慢性）,オゾン層への有害性,急性毒性（経口）急性毒性推定値（ATE）mg/kg,急性毒性（経皮）急性毒性推定値（ATE）mg/kg,急性毒性（吸入：気体）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）ppmV,急性毒性（吸入：蒸気）急性毒性推定値（ATE）mg/L,急性毒性（吸入：粉じん、ミスト）急性毒性推定値（ATE）mg/l,LC50(魚類),EC50(甲殻類),EC50(藻類),毒性乗率　水生環境有害性　短期　（急性）,NOEC(魚類),NOEC(甲殻類),NOEC(藻類),急速分解性有無,毒性乗率　水生環境有害性　長期　（慢性）,GHS分類結果情報参照URL（日）,GHS分類結果情報参照URL（英）,ratio
m-nite-29082-74-4,NITE,29082-74-4,オクタクロロスチレン,Octachlorostyrene,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,肝臓,,区分1,腎臓,,区分1,甲状腺,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,3710,,,,,,,0.0058,,100,,0.00091,,無,100,https://www.nite.go.jp/chem/ghs/m-nite-29082-74-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-291-64-5,NITE,291-64-5,シクロヘプタン,Cycloheptane,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分2,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-291-64-5.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29171-20-8,NITE,29171-20-8,3_7-ジメチル-6-オクテン-1-イン-3-オール　（別名：デヒドロ-β-リナロール）,3_7-Dimethyl-6-octen-1-yn-3-ol; Dehydro-beta-linalool,,,,,,,,,,,,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,区分2B,分類できない,分類できない,分類できない,分類できない,区分2,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分3,分類できない,3100,,,,,,22,,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-29171-20-8.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-2921-88-2,NITE,2921-88-2,チオりん酸O_O-ジエチル-O-(3_5_6-トリクロロ-2-ピリジル) (別名：クロルピリホス),O_O-diethyl O-(3_5_6-trichloro-2-pyridyl) thiophosphate [Chlorpyrifos],,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,,区分3,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分2B,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,区分1,副腎,,区分2,眼,,区分2,血液系,,区分2,肝臓,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,82,2500,,,,,,0.000035,,10000,,0.000045,,無,1000,https://www.nite.go.jp/chem/ghs/m-nite-2921-88-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29232-93-7,NITE,29232-93-7,O‐2‐ジエチルアミノ‐6‐メチルピリミジン‐4‐イル O_O‐ジメチル ホスホロチオアート（別名ピリミホス‐メチル）,O-2-(Diethylamino)-6-methylpyrimidin-4-yl O_O-dimethyl phosphorothioate (synonym: Pirimiphos-methy),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分4,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分2,区分2,分類できない,区分に該当しない,区分に該当しない,区分に該当しない,区分に該当しない,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,1250,2500,,,,5.04,0.679,0.000314,,1000,,0.00005,,無,1000,https://www.nite.go.jp/chem/ghs/m-nite-29232-93-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-2937-50-0,NITE,2937-50-0,クロロぎ酸アリル,Allyl chloroformate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分3,区分に該当しない（分類対象外）,タイプG,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分3,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分2,区分2,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,244,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-2937-50-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29570-58-9,NITE,29570-58-9,ジペンタエリスリトールヘキサアクリレート,Dipentaerythritol hexaacrylate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,,https://www.nite.go.jp/chem/ghs/m-nite-29570-58-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29590-42-9,NITE,29590-42-9,アクリル酸イソオクチル,Isooctyl acrylate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,区分あり,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,5000,,,,,,,0.4,,1,,,,無,1,https://www.nite.go.jp/chem/ghs/m-nite-29590-42-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-2971-90-6,NITE,2971-90-6,3_5-ジクロロ-2_6-ジメチル-4-ピリジノール【クロピドール】,clopidol,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分3,区分2B,分類できない,分類できない,分類できない,区分に該当しない,分類できない,,区分あり,区分3,気道刺激性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,8000,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-2971-90-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-2973-10-6,NITE,2973-10-6,硫酸ジイソプロピル,diisopropyl sulphate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,区分4,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,1193,1543,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-2973-10-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29767-20-2,NITE,29767-20-2,テニポシド,Teniposide,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,分類できない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,区分1B,区分2,,区分あり,区分2,骨髄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,骨髄,,区分1,消化器系,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,,,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-29767-20-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-297-78-9,NITE,297-78-9,オクタクロルテトラヒドロメタノフタラン,isobenzan,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分2,区分1,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分2B,分類できない,分類できない,分類できない,分類できない,区分2,,区分あり,区分1,中枢神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,中枢神経系,,区分1,心臓,,区分1,肝臓,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,5.94,4.5,,,,,,0.000034,,10000,,,,無,10000,https://www.nite.go.jp/chem/ghs/m-nite-297-78-9.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-297-97-2,NITE,297-97-2,チオりん酸O_O-ジエチルO-（2-ピラジニル）,Phosphorothioic acid O_O-diethyl O-(2-pyrazinyl),,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分2,区分1,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,11,11,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-297-97-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-00-0,NITE,298-00-0,ジメチル－パラ－ニトロフェニルチオホスフェイト　（別名：メチルパラチオン）,Dimethyl-p-nitrophenylthiophosphate; Methylparathion,,,,,,,,,,,,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,タイプG,区分に該当しない（分類対象外）,区分に該当しない,分類できない,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分1,区分1,区分に該当しない（分類対象外）,分類できない,区分1,区分に該当しない,区分2B,分類できない,区分に該当しない,区分2,区分に該当しない,区分2,,区分あり,区分1,神経系,,区分1,心血管系,,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,2.9,6,,,,0.034,,0.00014,,1000,,0.00011,,無,100,https://www.nite.go.jp/chem/ghs/m-nite-298-00-0.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-02-2,NITE,298-02-2,ジチオりん酸O_O-ジエチル-S-エチルチオメチル【ホレート】,O_O-diethyl ethylthiomethyl phosphorodithioate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分1,区分1,区分に該当しない（分類対象外）,分類できない,区分1,分類できない,分類できない,分類できない,分類できない,区分に該当しない,区分に該当しない,区分2,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,,1.5,3.8,,,,0.0028,,0.004,,100,,,,無,100,https://www.nite.go.jp/chem/ghs/m-nite-298-02-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-04-4,NITE,298-04-4,ジチオリン酸O_O-ジエチル-S-(2-エチルチオエチル) (別名：ジスルホトン),O_O-Diethyl-S-(2-ethylthioethyl) dithiophosphate [Disulfoton],,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分1,区分1,区分に該当しない（分類対象外）,分類できない,区分1,区分2,分類できない,分類できない,分類できない,分類できない,分類できない,区分2,,区分あり,区分1,神経系,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,神経系,,区分1,呼吸器,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分1,区分1,分類できない,2,2.5,,,,0.015,,0.013,,10,,0.000037,,無,1000,https://www.nite.go.jp/chem/ghs/m-nite-298-04-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-06-6,NITE,298-06-6,ジチオりん酸 O_O-ジエチル,O_O-Diethyl phosphorodithioate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分4,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,区分4,区分に該当しない,区分2A,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,精巣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分2,区分2,分類できない,500,,,,,1.64,,4.5,,,,,,無,,https://www.nite.go.jp/chem/ghs/m-nite-298-06-6.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-07-7,NITE,298-07-7,りん酸水素ビス（2-エチルヘキシル）,Bis(2-ethylhexan-1-yl) hydrogen phosphate,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分4,区分4,区分に該当しない（分類対象外）,分類できない,分類できない,区分1,区分1,分類できない,分類できない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分3,分類できない,1400,1250,,,,,,15,,,,,9.3,無,,https://www.nite.go.jp/chem/ghs/m-nite-298-07-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-12-4,NITE,298-12-4,グリオキシル酸,Glyoxylic acid,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分1,分類できない,区分1B,区分に該当しない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分3,区分に該当しない,分類できない,2528,,,,,,,,33,,,,,有,,https://www.nite.go.jp/chem/ghs/m-nite-298-12-4.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-298-81-7,NITE,298-81-7,９－メトキシ－７Ｈ－フロ［３_２－ｇ］［１］ベンゾピラン－７－オン　  (別名：８－メトキシプソラレン）,9-Methoxy-7H-furo[3_2-g][1]benzopyran-7-one; Methoxsalen,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分4,分類できない,区分に該当しない（分類対象外）,分類できない,分類できない,分類できない,分類できない,分類できない,区分に該当しない,区分2,区分1A,区分1B,,区分あり,区分3,麻酔作用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分1,甲状腺,,区分1,腎臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,分類できない,分類できない,分類できない,791,,,,,,,,,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-298-81-7.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
m-nite-29911-28-2,NITE,29911-28-2,ジプロピレングリコールブチルエーテル,Dipropylene glycol butyl ether,,,,,,,,,,,,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない,区分に該当しない（分類対象外）,分類できない,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,区分に該当しない（分類対象外）,分類できない,,区分に該当しない,区分に該当しない,区分に該当しない（分類対象外）,分類できない,分類できない,区分に該当しない,区分に該当しない,分類できない,区分に該当しない,分類できない,分類できない,分類できない,,分類できない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,区分あり,区分2,呼吸器,,区分2,肝臓,,,,,,,,,,,,,,,,,,,,,,,,,,分類できない,区分に該当しない,区分に該当しない,分類できない,4000,2500,,,,,841,,556.4,,,,,不明,,https://www.nite.go.jp/chem/ghs/m-nite-29911-28-2.html,https://www.nite.go.jp/chem/english/ghs/all_fy_e.html,
